,content_url,listing_price,time_posted,title
22,sfbay.craigslist.org/pen/apa/6048234242.html,2899.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=12, tm_min=39, tm_sec=9, tm_wday=4, tm_yday=76, tm_isdst=-1)",Spacious 1 bedroom
23,sfbay.craigslist.org/pen/apa/6048232331.html,2611.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=12, tm_min=37, tm_sec=55, tm_wday=4, tm_yday=76, tm_isdst=-1)",Top Floor With Lots Of Sun Light
24,sfbay.craigslist.org/pen/apa/6048216952.html,3020.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=12, tm_min=28, tm_sec=14, tm_wday=4, tm_yday=76, tm_isdst=-1)",A CHARMING TWO BEDROOM APARTMENT W/OLD WORLD CHARM!
25,sfbay.craigslist.org/pen/apa/6028329980.html,2700.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=12, tm_min=23, tm_sec=55, tm_wday=4, tm_yday=76, tm_isdst=-1)","Gorgeous, recently remodeled 2BR/1BA with lovely open floor plan"
26,sfbay.craigslist.org/pen/apa/6048208843.html,2595.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=12, tm_min=23, tm_sec=15, tm_wday=4, tm_yday=76, tm_isdst=-1)","140 San Marco #3 / First Open House, Sun 3/19  10:-10:30 am"
27,sfbay.craigslist.org/pen/apa/6048171571.html,2995.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=12, tm_min=0, tm_sec=25, tm_wday=4, tm_yday=76, tm_isdst=-1)",TASTEFUL TWO BEDROOM APARTMENT WITH LARGE BALCONY!
28,sfbay.craigslist.org/pen/apa/6048155292.html,2474.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=11, tm_min=50, tm_sec=37, tm_wday=4, tm_yday=76, tm_isdst=-1)",SPACIOUS & INVITING ONE BEDROOM APARTMENT IN BELMONT!
29,sfbay.craigslist.org/pen/apa/6048140521.html,3369.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=11, tm_min=41, tm_sec=42, tm_wday=4, tm_yday=76, tm_isdst=-1)",Charming one bedroom on the top floor!
30,sfbay.craigslist.org/pen/apa/6048128453.html,2904.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=11, tm_min=34, tm_sec=31, tm_wday=4, tm_yday=76, tm_isdst=-1)","TWO BEDROOM APARTMENT, CONVENIENT LOCATION CLOSE TO EVERYTHING!"
31,sfbay.craigslist.org/pen/apa/6048128119.html,3090.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=11, tm_min=34, tm_sec=17, tm_wday=4, tm_yday=76, tm_isdst=-1)","Stainless Steel Appliances, Energy Efficient Washer/Dryer & MORE!"
32,sfbay.craigslist.org/pen/apa/6048126397.html,2881.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=11, tm_min=33, tm_sec=18, tm_wday=4, tm_yday=76, tm_isdst=-1)",Top Floor 1 Bed 1! Bath Garden Courtyard View!
33,sfbay.craigslist.org/pen/apa/6029812891.html,2895.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=11, tm_min=32, tm_sec=55, tm_wday=4, tm_yday=76, tm_isdst=-1)",251 N El Camino Real #D / Open House Sat 3/18 11:-11:30 Am
34,sfbay.craigslist.org/pen/apa/6048028324.html,2957.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=10, tm_min=53, tm_sec=48, tm_wday=4, tm_yday=76, tm_isdst=-1)",* FOSTER'S LANDING TRANSFORMED WITH YOU IN MIND
35,sfbay.craigslist.org/pen/apa/6048032564.html,2820.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=10, tm_min=50, tm_sec=14, tm_wday=4, tm_yday=76, tm_isdst=-1)",GRANITE FOYER IN A 1BR/1BA HOME NEAR PUBLIC TRANSPORTATION!
36,sfbay.craigslist.org/pen/apa/6048046404.html,2406.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=10, tm_min=47, tm_sec=21, tm_wday=4, tm_yday=76, tm_isdst=-1)",2 Weeks free !! On Us !!
37,sfbay.craigslist.org/pen/apa/6048037274.html,3064.0,"time.struct_time(tm_year=1900, tm_mon=3, tm_mday=17, tm_hour=10, tm_min=42, tm_sec=0, tm_wday=4, tm_yday=76, tm_isdst=-1)",Cozy one bedroom available soon!
